filename,xp1m,xp2,xp3,xp4
1.html,2,به نام خداوند بخشنده بخشايشگر (1),بسیار خوب است با توکل به خدا اقدام نمایید.,بسیار خوب و پر نفع خواهد بود و ان‌شاءالله سود خوبی عایدتان خواهد شد.
101.html,-1,منافقان همانها هستند كه پيوسته انتظار مى كشند و مراقب شما هستند; اگر فتح و پيروزى نصيب شما گردد، مى گويند: مگر ما با شما نبوديم؟ (پس ما نيز در افتخارات و غنايم شريكيم!) ; س خ للّهو اگر بهره اى نصيب كافران گردد، به آنان مى گويند: مگر ما شما را به مبارزه و عدم تسليم در برابر مؤمنان، تشويق نمى كرديم؟ (پس با شما شريك خواهيم بود!)» خداوند در روز رستاخيز، ميان شما داورى مى كند; و خداوند هرگز كافران را بر مؤمنان تسلطى نداده است. (141),بسیار بد است به حرام می افتید و ضرر می‌بینید با اشخاص دورویی روبرو می‌شوید که شما را برای رسیدن به اهدافشان لازم دارند.,شما را فریب می‌دهند و ضرر هنگفتی به شما وارد می‌کنند.
103.html,-1,(ولى) بخاطر پيمان شكنى آنها، و انكار آيات خدا، و كشتن پيامبران بناحق، و بخاطر اينكه (از روى استهزا) مى گفتند: «بر دلهاى ما، پرده افكنده (شده و سخنان پيامبر را درك نمى كنيم! س ذللّه رانده درگاه خدا شدند.) آرى، خداوند بعلت كفرشان، بر دلهاى آنها مهر زده; كه جز عده كمى (كه راه حق مى پويند و لجاج ندارند،) ايمان نمى آورند. (155),بسیار بد است دچار افراد بسیار بدی خواهید شد ترک کنید.,طرفهای شما آدمهای کلاهبرداری هستند اصلا انجام ندهید.
105.html,-1,اى اهل كتاب! در دين خود، غلو (و زياده روى) نكنيد! و در باره خدا، غير از حق نگوييد! مسيح عيسى بن مريم فقط فرستاده خدا، و كلمه (و مخلوق) اوست، كه او را به مريم القا نمود; و روحى (شايسته) از طرف او بود. بنابر اين، به خدا و پيامبران او، ايمان بياوريد! و نگوييد: «(خداوند) سه گانه است!» (از اين سخن) خوددارى كنيد كه براى شما بهتر است! خدا، تنها معبود يگانه است; او منزه است كه فرزندى داشته باشد; (بلكه) از آن اوست آنچه در آسمانها و در زمين است; و براى تدبير و سرپرستى آنها، خداوند كافى است. (171),بد است حرف شما پیش نمی‌رود و زمین خواهید خورد.,هر چند در ظاهر معامله‌ی خوبی به نظر می‌رسد ولی چنین نیست و ضرر خواهید کرد.
107.html,1,گوشت مردار، و خون، و گوشت خوك، و حيواناتى كه به غير نام خدا ذبح شوند، و حيوانات خفه شده، و به زجر كشته شده، و آنها كه بر اثر پرت شدن از بلندى بميرند، و آنها كه به ضرب شاخ حيوان ديگرى مرده باشند، و باقيمانده صيد حيوان درنده -مگر آنكه (بموقع به آن حيوان برسيد، و) آن را سرببريد- و حيواناتى كه روى بتها (يا در برابر آنها) ذبح مى شوند، (همه) بر شما حرام شده است; و (همچنين) قسمت كردن گوشت حيوان به وسيله چوبه هاى تير مخصوص بخت آزمايى; تمام اين اعمال، فسق و گناه است -امروز، كافران از (زوال) آيين شما، مايوس شدند; بنابر اين، از آنها نترسيد! و از (مخالفت) من بترسيد! امروز، دين شما را كامل كردم; و نعمت خود را بر شما تمام نمودم; و اسلام را به عنوان آيين (جاودان) شما پذيرفتم- اما آنها كه در حال گرسنگى، دستشان به غذاى ديگرى نرسد، و متمايل به گناه نباشند، (مانعى ندارد كه از گوشتهاى ممنوع بخورند;) خداوند، آمرزنده و مهربان است. (3),خوب است با رعایت موازین شرعی.,پرمنفعت است موازین شرعی را رعایت کنید.
109.html,-1,و كسانى كه كافر شدند و آيات ما را تكذيب كردند، اهل دوزخند. (10),بسیار بد است انجام ندهید که به‌شدت پشیمان خواهید شد.,نیرنگ و حقه در کار است اصلا انجام ندهید.
11.html,-1,گفتند: «از خدايت بخواه براى ما روشن كند كه چگونه گاوى بايد باشد؟ زيرا اين گاو براى ما مبهم شده! و اگر خدا بخواهد ما هدايت خواهيم شد!» (70),بد است و انجام آن جز پشیمانی و ندامت چیزی بدنبال ندارد.,در این معامله فریب و نیرنگ زیاد است انجام ندهید.
111.html,-1,يهود و نصارى گفتند: «ما، فرزندان خدا و دوستان (خاص) او هستيم.» بگو: «پس چرا شما را در برابر گناهانتان مجازات مى كند؟! بلكه شما هم بشرى هستيد از مخلوقاتى كه آفريده; هر كس را بخواهد (و شايسته بداند)، مى بخشد; و هر كس را بخواهد (و مستحق بداند)، مجازات مى كند; و حكومت آسمانها و زمين و آنچه در ميان آنهاست، از آن اوست; و بازگشت همه موجودات، به سوى اوست.» (18),بد است و حدیث در می‌آید و پشت شما را خالی می‌کنند.,نفعی ندارد و آن چنان که وعده و وعید می‌دهند نیست ترکش کنید.
113.html,-1,به همين جهت، بر بنى اسرائيل مقرر داشتيم كه هر كس، انسانى را بدون ارتكاب قتل يا فساد در روى زمين بكشد، چنان است كه گويى همه انسانها را كشته; و هر كس، انسانى را از مرگ رهايى بخشد، چنان است كه گويى همه مردم را زنده كرده است. و رسولان ما، دلايل روشن براى بنى اسرائيل آوردند، اما بسيارى از آنها، پس از آن در روى زمين، تعدى و اسراف كردند. (32),بد است خطر آبرویی و جانی دارد ترک نمایید.,منجر به دعوا و درگیری می‌شود و ضرر هنگفتی نیز متحمل می‌شوید ترک کنید.
115.html,0,آنها بسيار به سخنان تو گوش مى دهند تا آن را تكذيب كنند; مال حرام فراوان مى خورند; پس اگر نزد تو آمدند، در ميان آنان داورى كن، يا (اگر صلاح دانستى) آنها را به حال خود واگذار! و اگر از آنان صرف نظر كنى، به تو هيچ زيانى نمى رسانند; و اگر ميان آنها داورى كنى، با عدالت داورى كن، كه خدا عادلان را دوست دارد! (42),میانه است ترک به ثواب نزدیکتر است.,به حرام خواهید افتاد از این کار دوری کنید.
117.html,-1,اى كسانى كه ايمان آورده ايد! يهود و نصارى را ولى (و دوست و تكيه گاه خود،) انتخاب نكنيد! آنها اولياى يكديگرند; و كسانى كه از شما با آنان دوستى كنند، از آنها هستند; خداوند، جمعيت ستمكار را هدايت نمى كند (51),بسیار بد است با این کار ناخواسته به حقوق دیگران تجاوز می‌کنید حتما ترک کنید.,اقدام نکنید که اصلا به نفع شما نیست و متحمل ضرر خواهید شد.
119.html,1,و اگر اهل كتاب ايمان بياورند و تقوا پيشه كنند، گناهان آنها را مى بخشيم; و آنها را در باغهاى پرنعمت بهشت، وارد مى سازيم. (65),خوب است توکل به‌خدا اقدام کنید ان‌شاءالله به اهدافتان خواهید رسید.,خوب است با توکل به‌خدا انجام دهید ان‌شاءالله سود خوبی خواهید برد.
121.html,-1,بگو: «اى اهل كتاب! در دين خود، غلو (و زياده روى) نكنيد! و غير از حق نگوييد! و از هوسهاى جمعيتى كه پيشتر گمراه شدند و ديگران را گمراه كردند و از راه راست منحرف گشتند، پيروى ننماييد!» (77),بد است به حرام می‌افتید انجام ندهید.,به حرام خواهید افتاد و هیچ نفعی هم نخواهید برد حتما ترک کنید.
123.html,-1,اى كسانى كه ايمان آورده ايد! شراب و قمار و بتها و ازلام ( نوعى بخت آزمايى )، پليد و از عمل شيطان است، از آنها دورى كنيد تا رستگار شويد! (90),بد است به حرام خواهید افتاد ترک کنید ان‌شاءالله مورد بهتری پیشنهاد خواهد شد.,در این معامله خیری وجود ندارد عجله نکنید موردی با سود خوب در راه است این مورد را به‌هیچ‌وجه انجام ندهید.
